Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bolivia,BOL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,24.2609787,24.80346298,23.52916145,25.0013485,24.52791023,28.48199272,31.8255825,38.09759521,46.34298325,55.40349197,59.78466415,70.87426758,78.20132446,94.87787628,113.79570007,130.74249268,136.27885437,149.04412842,159.13116455,..,..
Bolivia,BOL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,87.36,39.31,..,61.4,71.56,70.5,68.4,70,70,66.38,69.47,47.18,69.94,69.97,..,70.35,67.2,67.61,69.93,64.99,65,66.13,69.27,67.98,64.18
Bolivia,BOL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,18.8322627750955,19.6888540559611,19.6762971578986,20.5041201881171,20.5536490449212,24.2449167486935,28.7844352060692,28.2076377036326,27.2111987638891,25.9831531907592,23.938039331039,21.8110434484821,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,2.03796243490776,2.01301965812329,1.98716622218015,1.96052134579834,1.93350253396644,1.90580073630643,1.87706695230949,1.84719747545738,1.81618605446214,1.784145707414,1.75171098814694,1.71989014906645,1.69111797657242,1.66617077291181,1.64358106824134,1.62235980079652,1.60004361529199,1.57457928674147,1.54497716852867,1.51294243320221,1.48019596651052,1.449144413215,1.42189080360535,1.39913335536684,1.37952758307147
Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,47.8828063678676,46.5365055204049,47.0751922918139,56.2575827502911,60.1091978561596,68.339852256336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Armed forces personnel, total",MS.MIL.TOTL.P1,64100,70600,70600,69600,69600,68600,68600,68600,68000,70000,83000,83000,83000,83200,83200,83200,83200,83200,71200,71200,71200,71000,71100,..,..
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,38.07,39.56,41.48,42.57,44.63,45.7,47.63,49.34,50.79,52.48,54.24,55.89,57.44,58.82,60.38,62.22,63.38,..,..,..,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,99.4,98.5,100,100,100,99.3872769868445,99.7,100,100,100,99.705780546902,100,99.5,100,99.7,100,100,100,100,..
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,43.515625,43.18359375,..,..
Bosnia and Herzegovina,BIH,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,29000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,..,..,..,..,..,..,..,9.97355399210274,11.5683503113138,9.7833871795291,8.33915637795316,8.20166967828943,6.83023850302574,6.19854019889049,5.91663151160361,6.19059156320148,6.52261699843804,6.95511435694119,7.13087154069886,7.03729888668555,7.07554584867457,5.64966660447328,5.2647751193804,4.86256467174695,..
Bosnia and Herzegovina,BIH,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,..,..,..,..,..,..,..,0.600510511429289,1.04650195674501,1.23785867272819,1.40403109708979,1.21204433003671,1.27046419280307,1.1878671237553,1.56428691667213,1.53444393185002,1.62003014888261,1.53224179397939,1.55411598460975,1.50159656593593,1.54272326511126,1.10603880055315,1.15228794825258,1.18429209921418,..
Bosnia and Herzegovina,BIH,Arable land (% of land area),AG.LND.ARBL.ZS,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.70703125,19.6484375,19.9609375,20.0390625,20.703125,20.09765625,..,..
Bosnia and Herzegovina,BIH,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,4685,6635,6394,7070,7621,7442,7589,7620,7620,4970.2001953125,3638.30004882813,2923.5,3397,4450.60009765625,4563.60009765625,3760.39990234375,3638.80004882813,..,..
Bosnia and Herzegovina,BIH,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.06280994415283,8.24232959747314,12.5903301239014,11.8051500320435,13.284740447998,..,..
Bosnia and Herzegovina,BIH,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,..,..,..,..,3.9603960396,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.11305356816019,2.27244136218004,2.88136746057802,2.81031470983367,3.71883377372856,3.66394586733001,3.87296978312167,3.94983864404113,4.13634366347749,4.31037688044507,4.75643898612161,5.02020973261603,5.52971676716137,5.51132310566671,5.62410571591573,6.48426064542703,6.09158684172859,6.16778985366107,5.59718744920459,5.71826479677561,6.59724303753134,6.75809942551679,6.78113160660171,..,..
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,4190,8490,10760,10520,13950,13760,14560,14860,15570,16230,17910,18890,20760,20590,20840,23740,21960,21850,19490,19610,22340,22650,22540,..,..
Bosnia and Herzegovina,BIH,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.5,21.5,21.5,21.5,21.5,21.5,..
Bosnia and Herzegovina,BIH,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,70,70,70,70,70,..
Bosnia and Herzegovina,BIH,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108.5,108.5,108.5,108.5,108.5,108.5,..
Bosnia and Herzegovina,BIH,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.5,26.5,26.5,26.5,26.5,26.5,..
Bosnia and Herzegovina,BIH,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,60.50630951,66.88375854,79.1373291,123.76245117,139.27998352,143.48178101,165.60514832,214.69085693,268.93942261,289.23751831,284.30465698,319.2829895,310.91625977,337.29870605,354.35903931,305.40792847,326.40270996,337.71899414,376.87268066,..,..
Bosnia and Herzegovina,BIH,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,..,..,..,..,..,29.39,30.83,33.21,32.78,32.1,31.62,31.53,31.42,31.48,31.74,32.11,33.61,34.19,35.24,40.0900001525879
Bosnia and Herzegovina,BIH,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,32.6172729026338,33.9930338474708,36.0736125775401,37.8310007459561,39.8245485260411,39.1633455142932,38.1186179452594,39.0326694266153,37.3655580614393,39.9462725386932,36.91188274501,35.3219267006326,34.3505832762342,35.0127443148445,34.5240624043267,..
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.70229362133797,-0.755927646707981,-0.0463696234806419,0.241117327998279,0.208765696717053,0.115576918266045,0.103128419446988,0.0741866623544378,0.0535450488075259,0.0302276666197896,0.00239019890982009,-0.069897068723128,-0.226950769031907,-0.48906629557899,-0.818853335966774,-1.20286774011291,-1.54695841535682,-1.74536474373628,-1.72230731218996,-1.52630451114807,-1.26472845809142,-1.03088019890592,-0.827063451812447,-0.692266996375143,-0.613297985300864
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8346942869169,49.0902631535795,..,..,..,52.8681146878044,..,..,..,..
Bosnia and Herzegovina,BIH,"Armed forces personnel, total",MS.MIL.TOTL.P1,227000,86000,86000,86000,76000,24000,19800,18800,24000,12000,9000,9000,9000,10577,10577,10550,10500,10500,10500,10500,10500,11000,10500,..,..
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,45.12,46.53,47.72,49.24,50.64,52.01,53,54.39,55.38,56.73,57.59,58.72,59.92,61.05,62.12,63.15,64.08,..,..,..,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.3627471923828,20.5970783233643,22.8273296356201,25.0527400970459,27.2722129821777,24.8,31.6886501312256,33.8832588195801,36.0672302246094,38.2395362854004,40.4027099609375,42.5628318786621,44.5,43.36,51.7810707092285,53.24,55.8743133544922,57.8906860351563,59.9403953552246,62.13,64.2951507568359,67.4,68.3586578369141,70.1831817626953,..
Botswana,BWA,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.781942018245,45.7025391279798,45.5790235209006,45.5966686076262,45.7907645616078,45.5260882607238,45.605491150989,45.517265717361,45.5719654862104,45.5975508619625,45.5296172780689,45.4960916132903,45.6672489545286,45.7325357754133,45.6319587810774,45.7466518447938,45.677836006564,45.6690134632012,45.8842835212535,45.6330174862809,45.6330174862809,45.6330174862809,45.6330174862809,..,..
Botswana,BWA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3700,3669,3357,3648,2688,3165,3133,2957,3068,2913,2816,2835,3371,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,..,..,..,..,0.340490933456258,0.454558896906216,0.32747255084178,0.116703367641394,0.280778533119721,0.162496280518448,0.152945601615062,0.170634685822535,0.288181822662567,0.161471804796268,0.196444583529925,0.191282208216442,0.220339856608311,0.190721044569886,0.19220488042154,0.206573361612215,0.0779864829388925,0.083487756299893,0.0813823924357468,0.146230390119436,..
Botswana,BWA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,..,..,..,..,0.852850054042723,0.825576927796513,0.812874082871999,0.805070113983787,0.771642257325649,0.884905583760989,0.751937576273126,0.854715790951201,0.836358426810068,0.886957764419049,1.01788580394337,0.681800551309896,0.682256590787484,0.513285498379216,0.470264276387278,0.519290879260902,0.67084479435718,0.922270350932056,0.823874389624793,0.796576484502614,..
Botswana,BWA,Arable land (% of land area),AG.LND.ARBL.ZS,0.608755492033243,0.529352601768038,0.405836994688829,0.42348208141443,0.617578035396044,0.352901734512025,0.432304624777231,0.344079191149224,0.398778959998588,0.42348208141443,0.354666243184585,0.321140578405943,0.492297919644275,0.557584740529,0.457007746193072,0.571700809909481,0.502884971679636,0.494062428316835,0.70933248636917,0.458066451396609,0.458066451396609,0.458066451396609,0.458066451396609,..,..
Botswana,BWA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,15,15,15,..,..
Botswana,BWA,Children out of school (% of primary school age),SE.PRM.UNER.ZS,16.3817901611328,..,13.8194799423218,14.7898797988892,13.912389755249,12.5519504547119,12.4289598464966,12.3396596908569,11.3959503173828,10.8295202255249,9.96545028686523,11.5498104095459,12.912579536438,13.4747104644775,..,..,11.0509595870972,11.0060596466064,11.0457601547241,11.513500213623,..,8.94307994842529,..,..,..
Botswana,BWA,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.94055521145406,1.99295778305194,2.33528172826078,2.39712841404494,2.45233315463147,2.310897523936,2.36413969660403,2.26016454228497,2.24861274187455,2.37899767491886,2.22777683667672,2.30343734703736,2.2916671016832,2.09368337262189,1.69593368446374,1.98471176527211,2.51525948603394,2.69569091867304,3.41373893467406,3.39979516352025,3.29641075500307,3.56903798327132,3.64230521985371,..,..
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,2920,3070,3680,3860,4030,3870,4030,3920,3970,4280,4090,4320,4390,4090,3370,4000,5130,5560,7130,7210,7120,7870,8210,..,..
